فترة الرصد ,العنوان / NOW ,البرنامج ,النوع (أخبار - اقتصاد),التوزيع (ضيف - تقرير - مذيع - فيلر - وول - عاجل - تحليل - مراسل - مسؤول ) ,اسم الضيف/المراسل - حال وجوده,رابط النشر,الأهمية,برنت سكرين
06:56:32 PM,رئاسات الجمهورية والوزراء والبرلمان بالعراق: نرفض الاعتداءات على مدننا وإقليم كردستان العراق وندعم إجراءات فرض الأمن وحماية البعثات الدبلوماسية,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/r/1JtUFm8GBx/,,
07:00:54 PM,اتساع دائرة القصف الأميركي الإسرائيلي في اليوم الـ6 على التوالي للتصعيد ضد إيران.. مذيعة الشرق مايا حجيج والتفاصيل,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/v/1KBv4mNSCu/,,
07:09:45 PM,مؤسس Pangaea Policy تيري هينز: الهدف الأساسي من التصعيد العسكري القضاء على قدرات إيران النووية وتقويض الجيش الإيراني وتغيير النظام,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/v/1DYNbLvcua/,,
07:22:10 PM,رئيس قسم عملات مجموعة العشرة - CIBC جيرمي ستريتش: الدولار أثبت أنه المستفيد من ما يحدث عالمياً,شرق غرب,اقتصاد,ضيف ,رئيس قسم عملات مجموعة العشرة - CIBC جيرمي ستريتش,https://www.facebook.com/share/r/17M2CyTN8a/,,
07:27:29 PM,القيادة المركزية الأميركية: قواتنا تواصل استخدام حاملة الطائرات جيرالد فورد لتضييق الخناق البحري على إيران,شرق غرب,اقتصاد,مذيعة,,لم ينشر بعد,,
07:32:33 PM,محلل أسواق النفط - Kpler مات سميث: نتوقع أن لا يعمل مضيق هرمز بطريقة طبيعية قبل أن نرى حلاً مع إيران,شرق غرب,اقتصاد,ضيف ,محلل أسواق النفط - Kpler مات سميث,https://www.facebook.com/share/r/184BJZfSeL/,,
07:37:24 PM,مديرة صندوق النقد الدولي كريستالينا غورغييفا: إطالة أمد المواجهة مع إيران قد يؤثر في أسعار الطاقة وثقة الأسواق ومستويات التضخم,شرق غرب,اقتصاد,مذيعة,,https://www.facebook.com/share/r/17iRGXDWEt/,,
07:38:25 PM,ما هي تداعيات حرب إيران على الاقتصاد الصيني؟,شرق غرب,اقتصاد,فيلر ,,https://www.facebook.com/share/v/1C74P2TDG3/,,
07:41:03 PM,اقتصادي أول - pantheon macroeconomics كيلفين لام: الصين تعتمد على الخليج لتأمين 45% من استهلاكها للطاقة,شرق غرب,اقتصاد,ضيف ,اقتصادي أول - pantheon macroeconomics كيلفين لام,https://www.facebook.com/share/v/1AseRqQcbS/,,
07:57:23 PM,حرب إيران.. حصيلة المسيرات التي تطلقها إيران تجاه المنطقة,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/v/1DeK6rjh1B/,,
07:58:21 PM,ألية فرض السيطرة على الأجواء، أهم عناصر التفوق العسكري.. محتوى منتج بالذكاء الاصطناعي,تغطية خاصة,أخبار ,فيلر ,,https://www.facebook.com/share/v/1FdPosFhRq/,,
08:00:00 PM,الحرس الثوري الإيراني: الأمن مستتب على الحدود في شمال غرب البلاد,تغطية خاصة,أخبار ,مذيعة,,https://www.facebook.com/share/r/1E9arb5ovH/,,
08:07:42 PM,صناديق الذهب تسجل أكبر تراجع يومي في الحيازات منذ عام,جلسة المساء,اقتصاد,مذيعة,,https://www.facebook.com/share/r/16zPMaAXKa/,,
